"year","week","date","index"
2021,36,2021.67671232877,363
2021,37,2021.69589041096,364
2021,38,2021.71506849315,365
2021,39,2021.73424657534,366
2021,40,2021.75342465753,367
2021,41,2021.77260273973,368
2021,42,2021.79178082192,369
2021,43,2021.81095890411,370
2021,44,2021.8301369863,371
2021,45,2021.84931506849,372
2021,46,2021.86849315069,373
2021,47,2021.88767123288,374
2021,48,2021.90684931507,375
2021,49,2021.92602739726,376
2021,50,2021.94520547945,377
2021,51,2021.96438356164,378
2021,52,2021.98356164384,379
2022,1,2022.00273972603,380
2022,2,2022.02191780822,381
2022,3,2022.04109589041,382
2022,4,2022.0602739726,383
2022,5,2022.07945205479,384
2022,6,2022.09863013699,385
2022,7,2022.11780821918,386
2022,8,2022.13698630137,387
2022,9,2022.15616438356,388
2022,10,2022.17534246575,389
2022,11,2022.19452054795,390
2022,12,2022.21369863014,391
2022,13,2022.23287671233,392
2022,14,2022.25205479452,393
2022,15,2022.27123287671,394
2022,16,2022.2904109589,395
2022,17,2022.3095890411,396
2022,18,2022.32876712329,397
2022,19,2022.34794520548,398
2022,20,2022.36712328767,399
2022,21,2022.38630136986,400
2022,22,2022.40547945205,401
2022,23,2022.42465753425,402
2022,24,2022.44383561644,403
2022,25,2022.46301369863,404
2022,26,2022.48219178082,405
2022,27,2022.50136986301,406
2022,28,2022.52054794521,407
2022,29,2022.5397260274,408
2022,30,2022.55890410959,409
2022,31,2022.57808219178,410
2022,32,2022.59726027397,411
2022,33,2022.61643835616,412
2022,34,2022.63561643836,413
2022,35,2022.65479452055,414
2022,36,2022.67397260274,415
2022,37,2022.69315068493,416
2022,38,2022.71232876712,417
2022,39,2022.73150684932,418
2022,40,2022.75068493151,419
2022,41,2022.7698630137,420
2022,42,2022.78904109589,421
2022,43,2022.80821917808,422
2022,44,2022.82739726027,423
2022,45,2022.84657534247,424
2022,46,2022.86575342466,425
2022,47,2022.88493150685,426
2022,48,2022.90410958904,427
2022,49,2022.92328767123,428
2022,50,2022.94246575342,429
2022,51,2022.96164383562,430
2022,52,2022.98082191781,431
2023,1,2023,432
2023,2,2023.01917808219,433
2023,3,2023.03835616438,434
2023,4,2023.05753424658,435
2023,5,2023.07671232877,436
2023,6,2023.09589041096,437
2023,7,2023.11506849315,438
2023,8,2023.13424657534,439
2023,9,2023.15342465753,440
2023,10,2023.17260273973,441
2023,11,2023.19178082192,442
2023,12,2023.21095890411,443
2023,13,2023.2301369863,444
2023,14,2023.24931506849,445
2023,15,2023.26849315068,446
2023,16,2023.28767123288,447
2023,17,2023.30684931507,448
2023,18,2023.32602739726,449
2023,19,2023.34520547945,450
2023,20,2023.36438356164,451
2023,21,2023.38356164384,452
2023,22,2023.40273972603,453
2023,23,2023.42191780822,454
2023,24,2023.44109589041,455
2023,25,2023.4602739726,456
2023,26,2023.47945205479,457
2023,27,2023.49863013699,458
2023,28,2023.51780821918,459
2023,29,2023.53698630137,460
2023,30,2023.55616438356,461
2023,31,2023.57534246575,462
2023,32,2023.59452054795,463
2023,33,2023.61369863014,464
2023,34,2023.63287671233,465
2023,35,2023.65205479452,466
2023,36,2023.67123287671,467
2023,37,2023.6904109589,468
2023,38,2023.7095890411,469
2023,39,2023.72876712329,470
